,County,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
531,"Estill County, Kentucky",14647,28684,14382,30692
532,"Fayette County, Kentucky",296766,48779,315109,53013
533,"Fleming County, Kentucky",14415,32677,14515,41095
534,"Floyd County, Kentucky",39454,29237,37447,31196
535,"Franklin County, Kentucky",49399,47086,49969,53539
536,"Fulton County, Kentucky",6758,36813,6259,28274
537,"Gallatin County, Kentucky",8513,43860,8652,50250
538,"Garrard County, Kentucky",16892,44115,17226,47906
539,"Grant County, Kentucky",24683,46011,24800,43881
540,"Graves County, Kentucky",37200,36698,37259,40369
541,"Grayson County, Kentucky",25772,33290,26129,35944
542,"Green County, Kentucky",11309,33573,11044,37388
543,"Greenup County, Kentucky",36922,43808,36012,47517
544,"Hancock County, Kentucky",8588,48867,8700,49135
545,"Hardin County, Kentucky",104513,49257,107699,51923
546,"Harlan County, Kentucky",29210,26758,27548,24451
547,"Harrison County, Kentucky",18781,36393,18630,44620
548,"Hart County, Kentucky",18278,32445,18531,37315
549,"Henderson County, Kentucky",46254,42266,46252,43458
550,"Henry County, Kentucky",15428,43083,15677,50787
551,"Hickman County, Kentucky",4869,36125,4625,38036
552,"Hopkins County, Kentucky",46891,40501,45985,44048
553,"Jackson County, Kentucky",13475,22213,13369,32055
554,"Jefferson County, Kentucky",741285,46701,764378,52237
555,"Jessamine County, Kentucky",48591,48299,51667,55450
556,"Johnson County, Kentucky",23339,34466,23064,35629
557,"Kenton County, Kentucky",159926,53900,163987,58674
558,"Knott County, Kentucky",16368,32482,15690,30503
559,"Knox County, Kentucky",31874,24193,31424,26061
560,"Larue County, Kentucky",14175,39103,14102,41720
561,"Laurel County, Kentucky",58891,36835,59901,37235
562,"Lawrence County, Kentucky",15889,32622,15844,32703
563,"Lee County, Kentucky",7831,22789,6717,23297
564,"Leslie County, Kentucky",11318,26386,10648,27861
565,"Letcher County, Kentucky",24336,29532,23011,30293
566,"Lewis County, Kentucky",13889,27311,13565,32054
567,"Lincoln County, Kentucky",24671,34454,24413,37930
568,"Livingston County, Kentucky",9479,40101,9288,43472
569,"Logan County, Kentucky",26786,35962,26847,40982
570,"Lyon County, Kentucky",8336,38414,8268,50268
571,"McCracken County, Kentucky",65558,44757,65285,42894
572,"McCreary County, Kentucky",18204,21758,17748,19264
573,"McLean County, Kentucky",9554,40563,9361,44242
574,"Madison County, Kentucky",83174,42020,88376,46674
575,"Magoffin County, Kentucky",13229,25461,12783,29578
576,"Marion County, Kentucky",19872,37710,19335,40005
577,"Marshall County, Kentucky",31393,44802,31177,49126
578,"Martin County, Kentucky",12934,25340,12175,29239
579,"Mason County, Kentucky",17495,39192,17167,43082
580,"Meade County, Kentucky",28979,45629,28452,53732
581,"Menifee County, Kentucky",6331,25988,6381,39688
582,"Mercer County, Kentucky",21283,44431,21378,47574
583,"Metcalfe County, Kentucky",10074,34100,9990,35594
584,"Monroe County, Kentucky",10925,27586,10645,35665
585,"Montgomery County, Kentucky",26517,35832,27550,42172
586,"Morgan County, Kentucky",13898,29154,13281,33523
587,"Muhlenberg County, Kentucky",31399,38835,31153,40037
588,"Nelson County, Kentucky",43500,43722,45131,55182
589,"Nicholas County, Kentucky",7092,41832,7061,38900
590,"Ohio County, Kentucky",23975,38286,24062,41470
591,"Oldham County, Kentucky",60357,83164,64633,92237
592,"Owen County, Kentucky",10870,41719,10686,44031
593,"Owsley County, Kentucky",4764,19624,4497,22736
594,"Pendleton County, Kentucky",14771,48761,14530,49706
595,"Perry County, Kentucky",28617,32676,27329,31820
596,"Pike County, Kentucky",64887,33227,61586,32972
597,"Powell County, Kentucky",12638,27555,12349,34647
598,"Pulaski County, Kentucky",63045,32788,63974,35022
599,"Robertson County, Kentucky",2251,29136,2161,30694
600,"Rockcastle County, Kentucky",17090,28178,16815,35888
601,"Rowan County, Kentucky",23351,33615,24392,36411
602,"Russell County, Kentucky",17562,29465,17731,34660
603,"Scott County, Kentucky",47211,60553,52322,65598
604,"Shelby County, Kentucky",42286,56267,45831,63171
605,"Simpson County, Kentucky",17323,40930,17881,44989
606,"Spencer County, Kentucky",17135,62652,18012,68916
607,"Taylor County, Kentucky",24514,35000,25406,36455
608,"Todd County, Kentucky",12472,40011,12377,38248
609,"Trigg County, Kentucky",14282,44144,14286,47259
610,"Trimble County, Kentucky",8829,52805,8697,50998
611,"Union County, Kentucky",14992,37445,14915,42139
612,"Warren County, Kentucky",113787,43509,123824,49508
613,"Washington County, Kentucky",11701,39748,11999,47843
614,"Wayne County, Kentucky",20819,27646,20692,33715
615,"Webster County, Kentucky",13618,41138,13180,39273
616,"Whitley County, Kentucky",35756,29876,36027,34103
617,"Wolfe County, Kentucky",7298,21168,7251,21999
618,"Woodford County, Kentucky",24847,56672,25817,60604
619,"Acadia Parish, Louisiana",61611,38686,62607,40492
620,"Allen Parish, Louisiana",25740,38899,25667,42176
621,"Ascension Parish, Louisiana",107647,67688,119129,74748
622,"Assumption Parish, Louisiana",23321,46410,22881,48656
623,"Avoyelles Parish, Louisiana",41925,34512,41095,36763
624,"Beauregard Parish, Louisiana",35662,46762,36598,47350
625,"Bienville Parish, Louisiana",14312,31229,13806,34077
626,"Bossier Parish, Louisiana",117742,53070,125698,52145
627,"Caddo Parish, Louisiana",254970,40497,251069,40391
628,"Calcasieu Parish, Louisiana",192307,44247,198753,48219
629,"Caldwell Parish, Louisiana",10118,40181,10000,31933
630,"Cameron Parish, Louisiana",6934,62353,6806,60194
631,"Catahoula Parish, Louisiana",10409,38205,10044,34470
632,"Claiborne Parish, Louisiana",17059,32316,16296,26877
633,"Concordia Parish, Louisiana",20624,28971,20211,30028
634,"De Soto Parish, Louisiana",26695,40200,27164,41443
635,"East Baton Rouge Parish, Louisiana",439662,48274,446167,51436
636,"East Carroll Parish, Louisiana",7738,25413,7318,20795
637,"East Feliciana Parish, Louisiana",20252,43868,19553,46964
638,"Evangeline Parish, Louisiana",33989,32125,33750,31745
639,"Franklin Parish, Louisiana",20714,32981,20388,34722
640,"Grant Parish, Louisiana",22049,38739,22305,40577
641,"Iberia Parish, Louisiana",73527,44611,73346,44504
642,"Iberville Parish, Louisiana",33386,44037,33122,47128
643,"Jackson Parish, Louisiana",16210,38757,15952,36394
644,"Jefferson Parish, Louisiana",432706,48522,437038,50868
645,"Jefferson Davis Parish, Louisiana",31529,41777,31405,40744
646,"Lafayette Parish, Louisiana",221602,49705,238230,53950
647,"Lafourche Parish, Louisiana",96453,50574,98112,52705
648,"LaSalle Parish, Louisiana",14840,43641,14930,34712
649,"Lincoln Parish, Louisiana",46543,35433,47536,34424
650,"Livingston Parish, Louisiana",128192,57150,137096,60456
651,"Madison Parish, Louisiana",12113,24700,11616,29424
652,"Morehouse Parish, Louisiana",27893,31447,26290,31672
653,"Natchitoches Parish, Louisiana",39434,32649,39051,29001
654,"Orleans Parish, Louisiana",341407,36681,388182,38721
655,"Ouachita Parish, Louisiana",153752,38899,156433,40081
656,"Plaquemines Parish, Louisiana",23220,57386,23394,49635
657,"Pointe Coupee Parish, Louisiana",22821,45196,22271,43964
658,"Rapides Parish, Louisiana",131655,40946,132080,42655
659,"Red River Parish, Louisiana",9068,36591,8723,41510
660,"Richland Parish, Louisiana",20785,39493,20619,34745
661,"Sabine Parish, Louisiana",24265,36914,24145,40695
662,"St. Bernard Parish, Louisiana",35947,40590,45067,45265
663,"St. Charles Parish, Louisiana",52663,59197,52728,64707
664,"St. Helena Parish, Louisiana",11106,32460,10509,35254
665,"St. James Parish, Louisiana",21978,53728,21485,52055
666,"St. John the Baptist Parish, Louisiana",45741,51040,43565,53628
667,"St. Landry Parish, Louisiana",83774,36183,83580,32163
668,"St. Martin Parish, Louisiana",52343,41137,53609,47279
669,"St. Mary Parish, Louisiana",54285,40738,52578,41345
670,"St. Tammany Parish, Louisiana",234283,60813,249201,66539
671,"Tangipahoa Parish, Louisiana",121209,40491,128850,45901
672,"Tensas Parish, Louisiana",5189,29888,4771,21906
673,"Terrebonne Parish, Louisiana",111666,49545,113067,47650
674,"Union Parish, Louisiana",22633,36507,22537,38916
675,"Vermilion Parish, Louisiana",58041,44339,59841,49266
676,"Vernon Parish, Louisiana",51542,46260,51906,46620
677,"Washington Parish, Louisiana",47025,30490,46449,32962
678,"Webster Parish, Louisiana",41156,35896,40043,30891
679,"West Baton Rouge Parish, Louisiana",23748,50788,25518,60902
680,"West Carroll Parish, Louisiana",11587,33665,11274,37304
681,"West Feliciana Parish, Louisiana",15575,58212,15376,55647
682,"Winn Parish, Louisiana",15233,33853,14631,29472
683,"Androscoggin County, Maine",107766,44826,107317,49538
684,"Aroostook County, Maine",71757,37434,68840,39021
685,"Cumberland County, Maine",282143,57159,289173,65702
686,"Franklin County, Maine",30704,39416,30177,45541
687,"Hancock County, Maine",54470,48635,54468,51438
688,"Kennebec County, Maine",122022,47424,121289,50116
689,"Knox County, Maine",39848,47714,39700,53117
690,"Lincoln County, Maine",34440,50494,34021,54041
691,"Oxford County, Maine",57814,41434,57230,44582
692,"Penobscot County, Maine",153742,43382,152284,47886
693,"Piscataquis County, Maine",17432,36606,16960,38797
694,"Sagadahoc County, Maine",35394,55634,35149,60457
695,"Somerset County, Maine",52098,38141,50994,41549
696,"Waldo County, Maine",38761,42238,39280,50162
697,"Washington County, Maine",32832,36486,31822,40328
698,"York County, Maine",197861,56656,201454,62618
699,"Allegany County, Maryland",74645,39087,72591,42771
700,"Anne Arundel County, Maryland",538473,86987,564600,94502
701,"Baltimore County, Maryland",807318,66068,828637,71810
702,"Calvert County, Maryland",88774,92395,90824,100350
703,"Caroline County, Maryland",32947,60735,32785,52469
704,"Carroll County, Maryland",167249,83155,167319,90510
705,"Cecil County, Maryland",101109,66025,102416,70516
706,"Charles County, Maryland",147107,93063,156021,93973
707,"Dorchester County, Maryland",32570,46199,32386,50532
708,"Frederick County, Maryland",234268,83706,246105,88502
709,"Garrett County, Maryland",30079,45354,29516,48174
710,"Harford County, Maryland",245396,80441,250132,83445
711,"Howard County, Maryland",288676,107821,312495,115576
712,"Kent County, Maryland",20184,54614,19666,56638
713,"Montgomery County, Maryland",974824,96985,1039198,103178
714,"Prince George's County, Maryland",865443,73568,905161,78607
715,"Queen Anne's County, Maryland",47894,86013,49071,89241
716,"St. Mary's County, Maryland",105528,85032,110979,86508
717,"Somerset County, Maryland",26402,41558,25801,39239
718,"Talbot County, Maryland",37746,62942,37461,65595
719,"Washington County, Maryland",147882,54561,149546,58260
720,"Wicomico County, Maryland",98940,50639,102014,54493
721,"Worcester County, Maryland",51398,58138,51559,59458
722,"Baltimore city, Maryland",620644,40803,619796,46641
723,"Barnstable County, Massachusetts",216021,60424,213900,68048
724,"Berkshire County, Massachusetts",130866,47513,127751,55190
725,"Bristol County, Massachusetts",548739,55995,557016,62514
726,"Dukes County, Massachusetts",16581,65896,17275,67535
727,"Essex County, Massachusetts",744961,66918,775860,73533
728,"Franklin County, Massachusetts",71489,53298,70926,57307
729,"Hampden County, Massachusetts",464072,49729,469188,52205
730,"Hampshire County, Massachusetts",158850,61264,161197,64974
731,"Middlesex County, Massachusetts",1507558,81420,1582857,92878
732,"Nantucket County, Massachusetts",10194,83546,10912,91942
733,"Norfolk County, Massachusetts",672078,84087,694389,95668
734,"Plymouth County, Massachusetts",495407,74722,509114,82081
735,"Suffolk County, Massachusetts",724502,52700,780685,61242
736,"Worcester County, Massachusetts",799277,65968,818249,69313
737,"Alcona County, Michigan",10943,36931,10413,39424
738,"Alger County, Michigan",9531,38348,9254,42647
739,"Allegan County, Michigan",111589,51030,114145,58487
740,"Alpena County, Michigan",29602,38900,28730,40954
741,"Antrim County, Michigan",23634,43171,23133,50988
742,"Arenac County, Michigan",15952,36937,15238,39947
743,"Baraga County, Michigan",8808,39594,8580,42757
744,"Barry County, Michigan",59249,53541,59607,57312
745,"Bay County, Michigan",107633,46068,105350,45983
746,"Benzie County, Michigan",17554,47491,17462,53185
747,"Berrien County, Michigan",156759,43471,154948,47132
748,"Branch County, Michigan",44920,42995,43543,48192
749,"Calhoun County, Michigan",136063,42164,134327,46213
750,"Cass County, Michigan",52412,45462,51397,50699
751,"Charlevoix County, Michigan",26057,47177,26160,51567
752,"Cheboygan County, Michigan",26195,38166,25475,42876
753,"Chippewa County, Michigan",38919,41114,38023,44030
754,"Clare County, Michigan",30924,33334,30597,35913
755,"Clinton County, Michigan",75274,58231,77321,64903
756,"Crawford County, Michigan",14119,39982,13821,42666
757,"Delta County, Michigan",37075,42504,36395,44639
758,"Dickinson County, Michigan",26286,44272,25694,45681
759,"Eaton County, Michigan",107861,55301,108586,59244
760,"Emmet County, Michigan",32799,50686,32978,51475
761,"Genesee County, Michigan",425337,42730,410881,45231
762,"Gladwin County, Michigan",25736,38571,25324,40871
763,"Gogebic County, Michigan",16297,34397,15577,36689
764,"Grand Traverse County, Michigan",87483,51641,91222,58229
765,"Gratiot County, Michigan",42340,40224,41319,42256
766,"Hillsdale County, Michigan",46617,42668,45909,46160
767,"Houghton County, Michigan",36519,34453,36333,41379
768,"Huron County, Michigan",33001,40349,31750,45191
769,"Ingham County, Michigan",281323,45567,286185,49109
770,"Ionia County, Michigan",64149,47580,64147,51980
771,"Iosco County, Michigan",25880,35396,25317,41414
772,"Iron County, Michigan",11837,35551,11291,36773
773,"Isabella County, Michigan",70186,35927,70572,42771
774,"Jackson County, Michigan",160257,46572,158989,49715
775,"Kalamazoo County, Michigan",250704,46011,259830,51945
776,"Kalkaska County, Michigan",17231,39849,17358,43431
777,"Kent County, Michigan",605244,51030,636376,57302
778,"Keweenaw County, Michigan",2168,42406,2136,41118
779,"Lake County, Michigan",11543,30390,11669,32309
780,"Lapeer County, Michigan",88626,52369,88205,56186
781,"Leelanau County, Michigan",21677,53982,21564,62646
782,"Lenawee County, Michigan",99878,48528,98585,51339
783,"Livingston County, Michigan",181678,72396,186946,78430
784,"Luce County, Michigan",6590,42414,6406,41221
785,"Mackinac County, Michigan",11144,38507,10836,42559
786,"Macomb County, Michigan",841769,53628,864019,58175
787,"Manistee County, Michigan",24753,41228,24432,44882
788,"Marquette County, Michigan",67178,45349,67145,48491
789,"Mason County, Michigan",28672,40957,28800,45524
790,"Mecosta County, Michigan",42947,38332,43181,43470
791,"Menominee County, Michigan",24041,40865,23389,44480
792,"Midland County, Michigan",83744,52947,83489,57117
793,"Missaukee County, Michigan",14945,40406,14982,42370
794,"Monroe County, Michigan",151944,54588,149619,59479
795,"Montcalm County, Michigan",63357,40707,62956,44651
796,"Montmorency County, Michigan",9709,34955,9290,39152
797,"Muskegon County, Michigan",171755,40843,172707,46077
798,"Newaygo County, Michigan",48517,43180,47899,45645
799,"Oakland County, Michigan",1207097,65637,1241860,73369
800,"Oceana County, Michigan",26636,39667,26317,44382
801,"Ogemaw County, Michigan",21674,35320,20979,38149
802,"Ontonagon County, Michigan",6703,33769,6072,36073
803,"Osceola County, Michigan",23486,37825,23221,41099
804,"Oscoda County, Michigan",8709,33942,8304,36833
805,"Otsego County, Michigan",24175,47140,24247,50823
806,"Ottawa County, Michigan",264835,55760,280243,63962
807,"Presque Isle County, Michigan",13368,39109,12854,43758
808,"Roscommon County, Michigan",24447,34765,23934,37834
809,"Saginaw County, Michigan",200017,42828,193803,45034
810,"St. Clair County, Michigan",162978,47877,159761,53641
811,"St. Joseph County, Michigan",61314,44214,60890,47856
812,"Sanilac County, Michigan",43096,40019,41535,44417
813,"Schoolcraft County, Michigan",8455,37468,8114,37428
814,"Shiawassee County, Michigan",70402,47106,68617,50967
815,"Tuscola County, Michigan",55616,43463,53569,45495
816,"Van Buren County, Michigan",76149,44425,75190,49119
817,"Washtenaw County, Michigan",346010,59063,361509,65618
818,"Wayne County, Michigan",1822469,41504,1763822,43702
819,"Wexford County, Michigan",32694,40660,32915,42793
820,"Aitkin County, Minnesota",16166,41191,15841,45860
821,"Anoka County, Minnesota",331649,69916,344861,76796
822,"Becker County, Minnesota",32600,49159,33552,55884
823,"Beltrami County, Minnesota",44652,44038,45847,45923
824,"Benton County, Minnesota",38560,51365,39360,53574
825,"Big Stone County, Minnesota",5250,45545,5039,48299
826,"Blue Earth County, Minnesota",63991,49306,65767,53752
827,"Brown County, Minnesota",25772,47915,25243,55764
828,"Carlton County, Minnesota",35304,52943,35408,58874
829,"Carver County, Minnesota",91355,83275,98799,93095
830,"Cass County, Minnesota",28519,43992,28810,50162
831,"Chippewa County, Minnesota",12327,46579,12040,57601
832,"Chisago County, Minnesota",53526,66592,54297,76747
833,"Clay County, Minnesota",58937,52136,62040,61409
834,"Clearwater County, Minnesota",8672,41896,8824,45638
835,"Cook County, Minnesota",5206,50309,5270,51903
836,"Cottonwood County, Minnesota",11665,43225,11437,50524
837,"Crow Wing County, Minnesota",62521,46822,63505,53121
838,"Dakota County, Minnesota",399443,73288,414655,79995
839,"Dodge County, Minnesota",20071,66959,20485,71078
840,"Douglas County, Minnesota",36167,50365,36891,58667
841,"Faribault County, Minnesota",14546,43835,13966,50847
842,"Fillmore County, Minnesota",20880,48717,20825,57093
843,"Freeborn County, Minnesota",31188,43962,30619,51174
844,"Goodhue County, Minnesota",46144,55603,46138,62431
845,"Grant County, Minnesota",6016,47333,5923,53727
846,"Hennepin County, Minnesota",1158039,63559,1224763,71154
847,"Houston County, Minnesota",19001,53453,18709,56837
848,"Hubbard County, Minnesota",20372,45623,20743,52941
849,"Isanti County, Minnesota",38004,58775,38584,67565
850,"Itasca County, Minnesota",45052,46180,45237,52050
851,"Jackson County, Minnesota",10273,49886,10104,55122
852,"Kanabec County, Minnesota",16255,46323,15948,50509
853,"Kandiyohi County, Minnesota",42150,50156,42577,56604
854,"Kittson County, Minnesota",4547,49301,4384,52304
855,"Koochiching County, Minnesota",13293,40167,12776,47131
856,"Lac qui Parle County, Minnesota",7240,50203,6840,50195
857,"Lake County, Minnesota",10849,47210,10578,56078
858,"Lake of the Woods County, Minnesota",4039,41979,3841,46943
859,"Le Sueur County, Minnesota",27744,57831,27810,65500
860,"Lincoln County, Minnesota",5876,47778,5724,51102
861,"Lyon County, Minnesota",25714,47256,25789,54181
862,"McLeod County, Minnesota",36527,55275,35816,59869
863,"Mahnomen County, Minnesota",5442,39442,5500,42439
864,"Marshall County, Minnesota",9475,51000,9397,57289
865,"Martin County, Minnesota",20727,46790,20084,53627
866,"Meeker County, Minnesota",23262,52705,23105,59611
867,"Mille Lacs County, Minnesota",26004,46363,25635,53737
868,"Morrison County, Minnesota",33173,47110,32880,52855
869,"Mower County, Minnesota",39115,46239,39386,53700
870,"Murray County, Minnesota",8690,50039,8394,54211
871,"Nicollet County, Minnesota",32689,59490,33477,62593
872,"Nobles County, Minnesota",21349,47539,21854,53267
873,"Norman County, Minnesota",6796,45000,6589,53034
874,"Olmsted County, Minnesota",144507,66667,151685,72337
875,"Otter Tail County, Minnesota",57381,47579,57790,55181
876,"Pennington County, Minnesota",13950,47880,14197,53893
877,"Pine County, Minnesota",29564,44291,29057,47285
878,"Pipestone County, Minnesota",9536,44817,9229,48909
879,"Polk County, Minnesota",31426,49859,31564,55393
880,"Towns County, Georgia",10491,35843,11173,41182
881,"Treutlen County, Georgia",6851,35960,6752,39375
882,"Troup County, Georgia",67146,40246,69433,43597
883,"Turner County, Georgia",8834,27056,8036,42622
884,"Twiggs County, Georgia",8984,30533,8323,30629
885,"Union County, Georgia",21344,42125,22262,42767
886,"Upson County, Georgia",27061,34905,26241,35375
887,"Walker County, Georgia",68463,38504,68609,43581
888,"Walton County, Georgia",83771,52062,88695,55876
889,"Ware County, Georgia",36099,34700,35688,36962
890,"Warren County, Georgia",5788,32155,5410,32860
891,"Washington County, Georgia",21092,31441,20506,38097
892,"Wayne County, Georgia",30157,36496,29833,41534
893,"Webster County, Georgia",2773,29926,2627,36658
894,"Wheeler County, Georgia",7572,27601,7952,28490
895,"White County, Georgia",27141,40720,28509,43944
896,"Whitfield County, Georgia",102152,41832,103963,43871
897,"Wilcox County, Georgia",9142,31509,8896,35457
898,"Wilkes County, Georgia",10398,28224,9905,34234
899,"Wilkinson County, Georgia",9577,40331,9147,38711
900,"Worth County, Georgia",21746,39205,20809,40369
901,"Hawaii County, Hawaii",185399,52098,196325,56395
902,"Honolulu County, Hawaii",955215,72292,990060,80078
903,"Kalawao County, Hawaii",66,66250,86,61750
904,"Kauai County, Hawaii",67113,64752,71093,72330
905,"Maui County, Hawaii",154937,64058,164094,72762
906,"Ada County, Idaho",394961,55499,435117,60151
907,"Adams County, Idaho",3976,35756,3946,42727
908,"Bannock County, Idaho",82584,45860,84113,47390
909,"Bear Lake County, Idaho",5977,40242,5942,50603
910,"Benewah County, Idaho",9247,38536,9050,43472
911,"Bingham County, Idaho",45312,46817,45369,51307
912,"Blaine County, Idaho",21323,60160,21583,58835
913,"Boise County, Idaho",7014,45403,6968,49964
914,"Bonner County, Idaho",40806,41379,41855,45607
915,"Bonneville County, Idaho",104177,51254,110404,54150
916,"Boundary County, Idaho",10857,36300,11323,39512
917,"Butte County, Idaho",2828,40150,2613,43207
918,"Camas County, Idaho",1276,40515,886,36667
919,"Canyon County, Idaho",189396,42691,207027,46426
920,"Caribou County, Idaho",6872,52134,6862,58750
921,"Cassia County, Idaho",22813,43039,23472,48162
922,"Clark County, Idaho",780,35833,1055,31927
923,"Clearwater County, Idaho",8679,41914,8533,41122
924,"Custer County, Idaho",4338,41698,4141,37976
925,"Elmore County, Idaho",26655,43886,26232,45154
926,"Franklin County, Idaho",12739,47598,13120,51583
927,"Fremont County, Idaho",13123,43053,12889,51806
928,"Gem County, Idaho",16768,41976,16850,42888
929,"Gooding County, Idaho",15327,37910,15110,42626
930,"Idaho County, Idaho",16215,37067,16275,40299
931,"Jefferson County, Idaho",25940,52980,27410,58055
932,"Jerome County, Idaho",22140,40309,23039,46421
933,"Kootenai County, Idaho",139083,49151,150128,53189
934,"Latah County, Idaho",37365,39466,38697,43310
935,"Lemhi County, Idaho",7892,36372,7755,36031
936,"Lewis County, Idaho",3818,37340,3824,40313
937,"Lincoln County, Idaho",5167,43926,5296,46383
938,"Madison County, Idaho",37311,33776,38241,33620
939,"Minidoka County, Idaho",19909,43301,20448,48021
940,"Nez Perce County, Idaho",39226,45587,40014,51804
941,"Oneida County, Idaho",4236,44298,4284,43491
942,"Owyhee County, Idaho",11479,33626,11384,36092
943,"Payette County, Idaho",22614,42747,22839,48447
944,"Power County, Idaho",7717,41950,7667,47602
945,"Shoshone County, Idaho",12797,38273,12490,39835
946,"Teton County, Idaho",10007,56532,10776,55986
947,"Twin Falls County, Idaho",77122,42639,82248,49118
948,"Valley County, Idaho",9793,51953,10104,54015
949,"Washington County, Idaho",10144,36311,9996,37521
950,"Adams County, Illinois",67098,45691,66787,48454
951,"Alexander County, Illinois",8147,27248,6776,31014
952,"Bond County, Illinois",17762,47705,17034,54393
953,"Boone County, Illinois",54141,63670,53638,62701
954,"Brown County, Illinois",6913,43915,6791,56289
955,"Bureau County, Illinois",34798,48102,33619,54271
956,"Calhoun County, Illinois",5065,47399,4897,53641
957,"Carroll County, Illinois",15338,48456,14704,50555
958,"Cass County, Illinois",13570,43180,12880,50156
959,"Champaign County, Illinois",200931,45088,207946,49586
960,"Christian County, Illinois",34805,44211,33562,50668
961,"Clark County, Illinois",16353,47176,15924,52068
962,"Clay County, Illinois",13828,39966,13393,47427
963,"Clinton County, Illinois",37793,60661,37640,64543
964,"Coles County, Illinois",53683,38088,52540,41907
965,"Cook County, Illinois",5197677,54648,5238541,59426
966,"Crawford County, Illinois",19777,44617,19214,47468
967,"Cumberland County, Illinois",11044,44430,10899,50680
968,"DeKalb County, Illinois",104820,53575,104473,58343
969,"De Witt County, Illinois",16562,49626,16176,55411
970,"Douglas County, Illinois",19908,50589,19830,52261
971,"DuPage County, Illinois",918608,78538,931826,84442
972,"Edgar County, Illinois",18513,42730,17603,47873
973,"Edwards County, Illinois",6691,39238,6570,49632
974,"Effingham County, Illinois",34258,51009,34164,54655
975,"Fayette County, Illinois",22082,43724,21980,44541
976,"Ford County, Illinois",14045,50203,13470,50851
977,"Franklin County, Illinois",39518,37158,39302,39454
978,"Fulton County, Illinois",36989,43363,35733,48599
979,"Gallatin County, Illinois",5592,38934,5226,42450
980,"Greene County, Illinois",13828,42556,13311,44502
981,"Grundy County, Illinois",49870,63840,50333,71598
982,"Hamilton County, Illinois",8430,37904,8259,47293
983,"Hancock County, Illinois",19063,42494,18264,51460
984,"Hardin County, Illinois",4315,35632,4161,39524
985,"Henderson County, Illinois",7275,49612,6927,47428
986,"Henry County, Illinois",50378,52284,49649,55755
987,"Iroquois County, Illinois",29689,47908,28457,48857
988,"Jackson County, Illinois",59992,32819,59115,36008
989,"Jasper County, Illinois",9707,48703,9608,56523
990,"Jefferson County, Illinois",38908,42272,38358,46109
991,"Jersey County, Illinois",22939,53692,22215,56320
992,"Jo Daviess County, Illinois",22663,52164,22046,55532
993,"Johnson County, Illinois",12653,42027,12899,45743
994,"Kane County, Illinois",514891,68674,529402,74862
995,"Kankakee County, Illinois",113170,49994,110801,56542
996,"Kendall County, Illinois",114226,83835,122933,89860
997,"Knox County, Illinois",52698,40419,51374,41972
998,"Lake County, Illinois",701282,79085,704476,82613
999,"LaSalle County, Illinois",113688,52356,111151,54693
1000,"Lawrence County, Illinois",16778,39324,16457,44504
1001,"Lee County, Illinois",35778,50342,34670,58319
1002,"Livingston County, Illinois",38903,54339,36812,54339
1003,"Logan County, Illinois",30278,46647,29488,58271
1004,"McDonough County, Illinois",32568,35812,31597,42911
1005,"McHenry County, Illinois",308163,77325,308043,82230
1006,"McLean County, Illinois",169689,61049,173231,64573
1007,"Macon County, Illinois",110558,46165,107587,49052
1008,"Macoupin County, Illinois",47712,48788,45960,53890
1009,"Madison County, Illinois",268586,52756,266153,56536
1010,"Marion County, Illinois",39319,41723,38305,44679
1011,"Marshall County, Illinois",12567,52565,11925,55173
1012,"Mason County, Illinois",14636,42394,13904,44695
1013,"Massac County, Illinois",15370,42190,14594,42168
1014,"Menard County, Illinois",12728,59428,12416,62368
1015,"Mercer County, Illinois",16421,52700,15794,55649
1016,"Monroe County, Illinois",33003,71033,33739,74410
1017,"Montgomery County, Illinois",29977,42261,29173,47807
1018,"Morgan County, Illinois",35544,46763,34442,49353
1019,"Moultrie County, Illinois",14844,50005,14711,53979
1020,"Ogle County, Illinois",53378,55590,51619,57655
1021,"Peoria County, Illinois",186399,50925,186145,53063
1022,"Perry County, Illinois",22287,42013,21467,45864
1023,"Piatt County, Illinois",16679,62125,16433,67360
1024,"Pike County, Illinois",16436,40445,15930,41387
1025,"Pope County, Illinois",4399,39854,4360,41139
1026,"Pulaski County, Illinois",6107,31795,5691,34655
1027,"Putnam County, Illinois",5968,54467,5771,64741
1028,"Randolph County, Illinois",33353,48383,32829,49717
1029,"Richland County, Illinois",16181,43240,15953,46454
1030,"Rock Island County, Illinois",147504,48205,146205,51426
1031,"St. Clair County, Illinois",268873,50490,264433,51103
1032,"Saline County, Illinois",24975,37139,24430,40722
1033,"Sangamon County, Illinois",197474,55355,198134,58687
1034,"Schuyler County, Illinois",7499,46934,7181,47321
1035,"Scott County, Illinois",5322,49746,5109,48542
1036,"Shelby County, Illinois",22316,46546,21906,49807
1037,"Stark County, Illinois",5983,51392,5551,52284
1038,"Stephenson County, Illinois",47532,44572,45839,46427
1039,"Tazewell County, Illinois",135201,55580,134695,60874
1040,"Union County, Illinois",17799,41869,17267,46716
1041,"Vermilion County, Illinois",81463,40961,79207,44930
1042,"Wabash County, Illinois",11935,45011,11568,49716
1043,"Warren County, Illinois",17723,41138,17429,47278
1044,"Washington County, Illinois",14692,54407,14260,54520
1045,"Wayne County, Illinois",16727,41446,16569,46405
1046,"White County, Illinois",14686,43151,14186,46279
1047,"Whiteside County, Illinois",58400,46193,56823,51969
